Please wait while I teach myself to play Sim-5.
This may take a few minutes.
14883
Elapsed time: 313.745809
I'm ready to play. You go first.

         1054912572 function calls (1054893732 primitive calls) in 314.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      230    0.000    0.000    0.001    0.000 _internal.py:869(_ufunc_doc_signature_formatter)
      554    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.001    0.001 getlimits.py:158(_register_known_types)
        1    0.000    0.000    0.001    0.001 kernighan_lin.py:1(<module>)
        1    0.000    0.000    0.001    0.001 vf2pp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mst.py:957(SpanningTreeIterator)
       42    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      821    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        8    0.000    0.000    0.000    0.000 enum.py:496(__new__)
      555    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       50    0.000    0.000    0.000    0.000 core.py:131(get_object_signature)
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
        1    0.000    0.000    0.000    0.000 graphviews.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
       53    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
      325    0.000    0.000    0.000    0.000 function_base.py:469(_add_docstring)
     1737    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        7    0.000    0.000    0.000    0.000 inspect.py:2428(_signature_from_callable)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
      9/8    0.000    0.000    0.000    0.000 typing.py:476(__getitem__)
       10    0.000    0.000    0.000    0.000 dataclasses.py:624(_cmp_fn)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      815    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        6    0.000    0.000    0.000    0.000 getlimits.py:34(__init__)
        9    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
     2788    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        8    0.000    0.000    0.000    0.000 typing.py:653(Union)
        7    0.000    0.000    0.000    0.000 inspect.py:2333(_signature_from_function)
       26    0.000    0.000    0.000    0.000 core.py:6832(__init__)
     2805    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       26    0.000    0.000    0.000    0.000 core.py:6837(getdoc)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2265(_IPv6Constants)
       70    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
       17    0.000    0.000    0.000    0.000 typing.py:1346(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2189(__init__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      617    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        9    0.000    0.000    0.000    0.000 typing.py:1556(__getitem__)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
        1    0.000    0.000    0.000    0.000 _meta.py:7(PackageMetadata)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
