Please wait while I teach myself to play Sim-5.
This may take a few minutes.
14883
Elapsed time: 279.913106
I'm ready to play. You go first.

         1048127414 function calls (1048108574 primitive calls) in 280.421 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1683    0.000    0.000    0.001    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.001    0.001 _expm_multiply.py:1(<module>)
     4525    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mixing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 graphviews.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message.py:135(Message)
      821    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        8    0.000    0.000    0.000    0.000 enum.py:496(__new__)
      665    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        3    0.000    0.000    0.000    0.000 connectivity.py:1(<module>)
      554    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        4    0.000    0.000    0.000    0.000 enum.py:907(<listcomp>)
        1    0.000    0.000    0.000    0.000 kernighan_lin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 boykovkolmogorov.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
       42    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      555    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       50    0.000    0.000    0.000    0.000 core.py:131(get_object_signature)
      325    0.000    0.000    0.000    0.000 function_base.py:469(_add_docstring)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
        9    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        7    0.000    0.000    0.000    0.000 inspect.py:2428(_signature_from_callable)
        6    0.000    0.000    0.000    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
     2788    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       53    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2265(_IPv6Constants)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      815    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       28    0.000    0.000    0.000    0.000 ipaddress.py:2189(__init__)
      9/8    0.000    0.000    0.000    0.000 typing.py:476(__getitem__)
       26    0.000    0.000    0.000    0.000 core.py:6832(__init__)
     2805    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        7    0.000    0.000    0.000    0.000 inspect.py:2333(_signature_from_function)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:528(_init_fn)
      617    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       26    0.000    0.000    0.000    0.000 core.py:6837(getdoc)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1542(_IPv4Constants)
        8    0.000    0.000    0.000    0.000 typing.py:653(Union)
       17    0.000    0.000    0.000    0.000 typing.py:1346(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 reportviews.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
       86    0.000    0.000    0.000    0.000 enum.py:1515(__and__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:178(sub)
        9    0.000    0.000    0.000    0.000 typing.py:1556(__getitem__)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
       74    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
      107    0.000    0.000    0.000    0.000 __init__.py:163(match)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
